state_name,party,name,twitter_handle
California,democrat,Gavin Newsom,GavinNewsom
Colorado,democrat,Jared Polis,jaredpolis
Connecticut,democrat,Edward Lamont,GovNedLamont
Delaware,democrat,John Carney,johncarneyde
Hawaii,democrat,David Ige,GovHawaii
Illinois,democrat,J.B. Pritzker,jbpritzker
Kansas,democrat,Laura Kelly,GovLauraKelly
Kentucky,democrat,Andy Beshear,AndyBeshearKY
Louisiana,democrat,John Edwards,louisianagov
Michigan,democrat,Gretchen Whitmer,gretchenwhitmer
Minnesota,democrat,Tim Walz,GovTimWalz
Montana,democrat,Stephen Bullock,GovernorBullock
Nevada,democrat,Steve Sisolak,stevesisolak
New Jersey,democrat,Philip Murphy,philmurphynj
New Mexico,democrat,Michelle Lujan Grisham,michelle4nm
New York,democrat,Andrew Cuomo,nygovcuomo
North Carolina,democrat,Roy Cooper,NC_Governor
Oregon,democrat,Katherine Brown,OregonGovBrown
Pennsylvania,democrat,Thomas Wolf,governortomwolf
Rhode Island,democrat,Gina Raimondo,ginaraimondo
Virginia,democrat,Ralph Northam,ralphnortham
Washington,democrat,Jay Inslee,jayinslee
West Virginia,democrat,James Justice,WVGovernor
Wisconsin,democrat,Tony Evers,tony4wi
